icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab40ce,RPA5621 ,United States,1749938518.0,1749938518,-74.9809,39.8286,4678.68,False,197.33,33.73,-8.45,,4892.04,2617,False,0
478f5c,SAS904  ,Norway,1749938226.0,1749938226,-74.1812,40.677,,True,3.09,205.31,,,,,False,0
a5bb10,CNS888  ,United States,1749938518.0,1749938518,-77.0244,39.5253,1798.32,False,111.29,289.44,0.0,,1866.9,,False,0
ab6800,JBU471  ,United States,1749938518.0,1749938518,-75.9759,39.7269,11170.92,False,203.28,230.75,3.58,,11742.42,7127,False,0
a99077,AAL2210 ,United States,1749938516.0,1749938518,-80.4383,33.1533,2438.4,False,154.66,111.87,-13.33,,2590.8,4164,False,0
a6b8d5,LTA532  ,United States,1749938517.0,1749938518,-78.2093,35.6653,883.92,False,42.63,261.67,-0.33,,914.4,,False,0
a0345f,RPA4604 ,United States,1749938518.0,1749938519,-78.2075,38.7597,7924.8,False,209.47,235.61,0.0,,8328.66,1671,False,0
a19abb,N202PE  ,United States,1749938518.0,1749938518,-78.0572,38.8525,8229.6,False,119.92,221.35,0.0,,8663.94,3340,False,0
a2b112,UAL2073 ,United States,1749938409.0,1749938411,-77.4387,38.9391,,True,0.77,180.0,,,,,False,0
a0ddfb,AAL2307 ,United States,1749938518.0,1749938518,-80.7501,39.1426,7307.58,False,232.22,182.41,4.23,,7673.34,,False,0
a82dbd,NKS2602 ,United States,1749938424.0,1749938451,-78.2417,30.9265,11590.02,False,227.29,233.47,0.0,,12275.82,,False,0
a2b150,UAL2366 ,United States,1749938518.0,1749938518,-77.45,38.9442,,True,3.86,90.0,,,,,False,0
ac8777,SWA4123 ,United States,1749938519.0,1749938519,-77.1498,38.1602,6149.34,False,213.9,11.8,-10.08,,6454.14,2524,False,0
a57dbe,N453F   ,United States,1749938517.0,1749938517,-76.6187,39.3218,419.1,False,18.41,153.43,-1.95,,426.72,,False,0
a77721,JIA5591 ,United States,1749938402.0,1749938406,-75.3225,39.8513,213.36,False,68.13,75.12,-3.9,,213.36,1163,False,0
a2b17a,UAL2264 ,United States,1749938458.0,1749938458,-77.4394,38.9234,,True,1.03,104.06,,,,,False,0
a046f2,RPA4350 ,United States,1749938518.0,1749938518,-80.6852,33.3931,10058.4,False,238.58,63.49,-0.33,,10652.76,2650,False,0
a77757,EJA580  ,United States,1749938518.0,1749938518,-75.2062,40.253,12192.0,False,169.24,226.85,-0.33,,12733.02,7333,False,0
ae5dee,C2015   ,United States,1749938518.0,1749938518,-77.9703,36.1581,6416.04,False,171.87,85.36,0.98,,6743.7,3427,False,0
a70f11,JBU1642 ,United States,1749938315.0,1749938367,-78.2041,30.5297,10668.0,False,245.19,12.11,0.0,,11323.32,,False,0
a7faad,JBU495  ,United States,1749938517.0,1749938518,-77.7006,38.4113,10363.2,False,206.18,221.97,0.0,,10927.08,1723,False,0
ad1280,N941SS  ,United States,1749938518.0,1749938518,-77.0652,40.1605,883.92,False,57.11,72.71,0.0,,906.78,3237,False,0
a2af3e,EDV5518 ,United States,1749938518.0,1749938518,-75.9539,37.1944,3329.94,False,129.41,41.29,0.0,,3482.34,7124,False,0
a70778,GJS4497 ,United States,1749938369.0,1749938369,-77.4571,38.9377,,True,1.29,129.38,,,,,False,0
